text,majority_label,severity,labels,annotator_ids,targets
u really think i would not have been raped by feral hindu or muslim back in india or bangladesh and a neo nazi would rape me as well just to see me cry,2,High,"0, 2, 2","203, 204, 233","Islam, Hindu, Other"
the uk has threatened to return radioactive waste to the eu if an agreement cannot be reached can not we keep the radioactive waste and send back all the paki migrants instead,2,High,"2, 2, 0","27, 6, 4","Minority, Islam, Indian, Refugee"
if english is not imposition then hindi is also not imposition shut up chutiya retards stophindiimposition,2,High,"2, 2, 2","209, 203, 222","Other, Hindu"
no liberal congratulated hindu refugees post cab because they hate hindus,2,High,"2, 2, 2","235, 222, 209",Hindu
he said bro even your texts sound redneck whatever the fuck that means 😂 🤷 🏻 ‍ ♂️ <user>,2,High,"2, 2, 2","51, 25, 4","Economic, Caucasian"
i live and work with many legal mexican immigrants who are great citizens and trump supporters they have no problem with deporting illegals maga,1,Medium,"2, 1, 1","203, 202, 204","Hispanic, Refugee"
in britain the prime minister a childless woman london mayor a moslem invader in command of london police a lesbian in command of london fire brigade a fat woman scotland first minister a childless woman,0,Low,"0, 2, 0","67, 57, 4","Disability, Refugee, Women, Homosexual, Islam"
<user> <user> there shd be a film called no hindus in kashmir wud be perfect islamic fanaticsm movement in kashmir,1,Medium,"1, 2, 1","207, 221, 204","Islam, Hindu, Arab"
jews defends jews regardless muslims defend muslins regardless christian european attack christians christian people are on their own and jews and muslims have another home we don ffs we do not why can not people understand that it not that difficult,1,Medium,"2, 1, 1","246, 221, 211","Islam, Christian, None, Jewish"
the non partisan congressional budget office cbo has released their report on sens lindsey graham and dick durbin <number> the dream act the report shows that their legislation would add <number> billion to the deficit over a ten year period and lots more immigrant scum,0,Low,"0, 0, 0","228, 220, 208",Refugee
got a couple more companies you can boycott this christmas season first one is ford they have got several <number> ads out featuring blip length shots of white men w other than white women this is becoming the norm too you defile the white man that will drive our women into their hands wn,1,Medium,"1, 1, 0","211, 221, 206","Men, Women, Caucasian, None"
people are going to blame the white nationalists for what happened but they were initially peaceful before antifa showed up what happened yesterday is the result of political correctness and the left legitimising political violence that why the establishment leftists do not condemn antifa <number> <number>,1,Medium,"2, 1, 1","203, 224, 204","Other, Caucasian"
you are completely correct without it communication breaks down leading to distortions misrepresentations this is a very serious problem among white males who failed to learn the language effectively,1,Medium,"1, 1, 2","213, 199, 205","Caucasian, None"
caucasians wearing masks to prevent coronavirus and still don ’ t wash their hands,1,Medium,"1, 2, 1","203, 235, 233",Caucasian
<user> <number> americans dead because of an illegal immigrant this is infuriating enforce our laws deport them,0,Low,"1, 0, 0","217, 206, 223","Men, Women, Refugee"
<user> besudes guilt saviour complex among whites has reached such an alarming level that they want to save indian girls from being raped when the rate of sexual assault in their own countries is significantly higher,1,Medium,"1, 0, 1","18, 111, 4","Women, Caucasian, None"
thank a white man you live in his world and why do you islanders say you are canadian so rude really if i lived in a brown country even with citizenship i would never call myself ethiopian chinese indian you are a caribbean living in canada,0,Low,"2, 0, 0","200, 223, 231","Other, Refugee"
nigger faggot retard beaner dishwasher time to see if i get ban,0,Low,"0, 0, 0","6, 25, 10","Women, African, Homosexual, Disability"
your idea of compassion is allowing kate steinle killer go free that not compassion it a mental illness let be compassionate to the legal citizens of this country stop funding illegal immigrants stop encouraging lawlessness and build that fucking wall maga gabfam news,1,Medium,"1, 0, 1","212, 223, 217","Men, Women, Refugee"
why don ’ t white boys with curly hair comb it looks like a bird ’ nest,1,Medium,"2, 1, 1","211, 199, 247",Caucasian
blow a stack for yo niggas with yo trapping ass,1,Medium,"1, 1, 2","6, 4, 70","African, Nonreligious, Minority, Other, None"
<user> yes they put fear in black people jews and even white civil rights workers and they deny the holocaust ever happened,1,Medium,"1, 2, 1","221, 207, 204","African, Caucasian, Jewish"
they playing a lot of ethnic music at this white ass wedding,1,Medium,"2, 1, 1","156, 4, 1","Caucasian, None"
that a retarded non argument the bible is also a best seller in communist china,0,Low,"0, 0, 1","213, 210, 228","Asian, Christian, None, Other"
<user> i think immigrants should replace people like you,1,Medium,"1, 1, 2","203, 199, 235","None, Refugee"
every time a nigger in africa gets pregnant abort it make it a law you can about up to <number> years,0,Low,"0, 0, 0","1, 17, 3",African
nothing royal about this wedding he is a bastard and she is a nignog halfbreed thot and a divorced catholic to boot it is notable that both the father of the bride and the father of the groom did not attend,0,Low,"0, 0, 0","3, 57, 4","Other, African, Christian, Women"
what sort of white man or woman would vote for this nigger,0,Low,"0, 2, 0","27, 19, 4",African
diversity is a code word for white genocide immigrants contribute and integrate 3 rd world retards freeload and fornicate,0,Low,"0, 0, 2","223, 204, 207","Other, Refugee"
im literally not a zionist but dear lord how hard is it to just recognize that people just genuinely despise jews,1,Medium,"1, 2, 1","223, 229, 209","Jewish, None"
hindu army ’ disrespecting islam now 🙄 acting like your countries don ’ t mass murder them on a bi yearly basis stfu,2,High,"2, 2, 2","221, 207, 212","Islam, Hindu"
stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off,0,Low,"2, 0, 0","200, 228, 223",African
<user> humor negro 😂 😂 😂 😂 😂,1,Medium,"1, 2, 1","212, 207, 221",African
bump dis nigger,0,Low,"0, 0, 2","4, 54, 10",African
would be hilarious if the un building was turned into homeless shelter or hell why not a refugee center,1,Medium,"2, 1, 1","222, 199, 209","Other, Refugee"
i am confused how a president blocked stimulus checks for those who married to immigrants while he himself married to an immigrant,1,Medium,"2, 1, 1","211, 199, 245","Refugee, None"
how pissed are you if you are japanese chinese korean ya know real asians and now the goat fuckers are called asian too to avoid calling them arabs,0,Low,"0, 2, 0","199, 222, 209","Asian, Islam, Arab"
i ’ ve always wanted to beat up a nigga in front of his child so the child can grow up and remember it forever,0,Low,"2, 0, 0","203, 235, 216","Men, African"
